,age,ec_risk_MLH1,oc_risk_MLH1,ac_death_risk,ec_risk_MSH2,oc_risk_MSH2,ec_risk_MSH6,oc_risk_MSH6,ec_risk_PMS2,oc_risk_PMS2
0,25,0.0,0.0,0.000523,0.0,0.0,0.0,0.0,0.0,0.0
1,26,0.0,0.0,0.000552,0.0,0.0,0.0,0.0,0.0,0.0
2,27,0.0,0.0,0.000582,0.0,0.0,0.0,0.0,0.0,0.0
3,28,0.0,0.0,0.000613,0.0,0.0,0.0,0.0,0.0,0.0
4,29,0.0,0.0,0.000644,0.0,0.0,0.0,0.0,0.0,0.0
5,30,0.0019164432147936727,0.002018231358430378,0.000678,0.0023241576474345438,0.0022220883928949497,0.0023241576474345438,0.0023241576474345438,0.000190162645751224,0.0
6,31,0.0019164432147936727,0.002018231358430378,0.000716,0.0023241576474345438,0.0022220883928949497,0.0023241576474345438,0.0023241576474345438,0.000190162645751224,0.0
7,32,0.0019164432147936727,0.002018231358430378,0.000757,0.0023241576474345438,0.0022220883928949497,0.0023241576474345438,0.0023241576474345438,0.000190162645751224,0.0
8,33,0.0019164432147936727,0.002018231358430378,0.000805,0.0023241576474345438,0.0022220883928949497,0.0023241576474345438,0.0023241576474345438,0.000190162645751224,0.0
9,34,0.0019164432147936727,0.002018231358430378,0.00086,0.0023241576474345438,0.0022220883928949497,0.0023241576474345438,0.0023241576474345438,0.000190162645751224,0.0
10,35,0.0019164432147936727,0.002018231358430378,0.000925,0.0023241576474345438,0.0022220883928949497,0.0023241576474345438,0.0023241576474345438,0.000190162645751224,0.0
11,36,0.0019164432147936727,0.002018231358430378,0.001,0.0023241576474345438,0.0022220883928949497,0.0023241576474345438,0.0023241576474345438,0.000190162645751224,0.0
12,37,0.0019164432147936727,0.002018231358430378,0.001081,0.0023241576474345438,0.0022220883928949497,0.0023241576474345438,0.0023241576474345438,0.000190162645751224,0.0
13,38,0.0019164432147936727,0.002018231358430378,0.001165,0.0023241576474345438,0.0022220883928949497,0.0023241576474345438,0.0023241576474345438,0.000190162645751224,0.0
14,39,0.0019164432147936727,0.002018231358430378,0.001252,0.0023241576474345438,0.0022220883928949497,0.0023241576474345438,0.0023241576474345438,0.000190162645751224,0.0
15,40,0.013884006870090504,0.004264589945981112,0.001349,0.016768149546496303,0.008829385183928284,0.011078800656756593,0.0029606104001262956,0.0005020846915980703,0.0
16,41,0.013884006870090504,0.004264589945981112,0.001458,0.016768149546496303,0.008829385183928284,0.011078800656756593,0.0029606104001262956,0.0005020846915980703,0.0
17,42,0.013884006870090504,0.004264589945981112,0.001574,0.016768149546496303,0.008829385183928284,0.011078800656756593,0.0029606104001262956,0.0005020846915980703,0.0
18,43,0.013884006870090504,0.004264589945981112,0.001702,0.016768149546496303,0.008829385183928284,0.011078800656756593,0.0029606104001262956,0.0005020846915980703,0.0
19,44,0.013884006870090504,0.004264589945981112,0.001847,0.016768149546496303,0.008829385183928284,0.011078800656756593,0.0029606104001262956,0.0005020846915980703,0.0
20,45,0.013884006870090504,0.004264589945981112,0.002002,0.016768149546496303,0.008829385183928284,0.011078800656756593,0.0029606104001262956,0.0005020846915980703,0.0
21,46,0.013884006870090504,0.004264589945981112,0.002179,0.016768149546496303,0.008829385183928284,0.011078800656756593,0.0029606104001262956,0.0005020846915980703,0.0
22,47,0.013884006870090504,0.004264589945981112,0.002396,0.016768149546496303,0.008829385183928284,0.011078800656756593,0.0029606104001262956,0.0005020846915980703,0.0
23,48,0.013884006870090504,0.004264589945981112,0.002653,0.016768149546496303,0.008829385183928284,0.011078800656756593,0.0029606104001262956,0.0005020846915980703,0.0
24,49,0.013884006870090504,0.004264589945981112,0.002933,0.016768149546496303,0.008829385183928284,0.011078800656756593,0.0029606104001262956,0.0005020846915980703,0.0
25,50,0.01585625176612615,0.00434378283952197,0.003215,0.028162229111517556,0.002371517759885089,0.019605711967695227,0.0029606104001262956,0.0066607455884680755,0.003041286638106211
26,51,0.01585625176612615,0.00434378283952197,0.003494,0.028162229111517556,0.002371517759885089,0.019605711967695227,0.0029606104001262956,0.0066607455884680755,0.003041286638106211
27,52,0.01585625176612615,0.00434378283952197,0.003783,0.028162229111517556,0.002371517759885089,0.019605711967695227,0.0029606104001262956,0.0066607455884680755,0.003041286638106211
28,53,0.01585625176612615,0.00434378283952197,0.004089,0.028162229111517556,0.002371517759885089,0.019605711967695227,0.0029606104001262956,0.0066607455884680755,0.003041286638106211
29,54,0.01585625176612615,0.00434378283952197,0.004419,0.028162229111517556,0.002371517759885089,0.019605711967695227,0.0029606104001262956,0.0066607455884680755,0.003041286638106211
30,55,0.01585625176612615,0.00434378283952197,0.004774,0.028162229111517556,0.002371517759885089,0.019605711967695227,0.0030982235235095246,0.0066607455884680755,0.003041286638106211
31,56,0.01585625176612615,0.00434378283952197,0.005145,0.028162229111517556,0.002371517759885089,0.019605711967695227,0.0030982235235095246,0.0066607455884680755,0.003041286638106211
32,57,0.01585625176612615,0.00434378283952197,0.005521,0.028162229111517556,0.002371517759885089,0.019605711967695227,0.0030982235235095246,0.0066607455884680755,0.003041286638106211
33,58,0.01585625176612615,0.00434378283952197,0.0059,0.028162229111517556,0.002371517759885089,0.019605711967695227,0.0030982235235095246,0.0066607455884680755,0.003041286638106211
34,59,0.01585625176612615,0.00434378283952197,0.006292,0.028162229111517556,0.002371517759885089,0.019605711967695227,0.0030982235235095246,0.0066607455884680755,0.003041286638106211
