gene,strategy,total QALYs,total QALYs disc,total LE,healthy,HSBO total,hysterectomy total,HSBO false positive,total disc cost,total cost,OC incidence,OC death,EC incidence,EC death,Cancer Incidence,Cancer Mortality,HSBO death comps,lifetime ec risk,lifetime oc risk,lifetime total risk,changed param,param value,cost per QALY
MLH1,"HSBO: 35, Survey: 30",40.76519165719215,22.09382931248381,47.190166996495435,0.0,0.9821997630784808,0.0,0.25482258977241967,13392.269806041837,17589.36290732827,0.008378068507873133,0.005812968062662391,0.0033342630184341744,0.001406853744708664,0.011712331526307308,0.007219821807371055,0.001674299792814899,0.301,0.1508,0.4518,ec lifetime risk,-5,606.1543074597179
MLH1,"HSBO: 40, Survey: 30",40.89805206462297,22.232877424882435,47.06245959169143,0.0,0.9704298015714657,0.0,0.44171680501604543,16552.018237446297,23253.05440765322,0.014472378885474042,0.010106798022919762,0.005760366495491657,0.0023567640495176802,0.0202327453809657,0.012463562072437442,0.0016533997768647126,0.301,0.1508,0.4518,ec lifetime risk,-5,744.4838525004292
MLH1,"HSBO: 50, Survey: 30",40.68698431678295,22.234056821698626,46.6318528302582,0.0,0.9094294621237835,0.0,0.6659899985793573,21330.111368765927,33812.31255856566,0.029793624852021885,0.020048061227711935,0.04457613027081275,0.015606944035260792,0.07436975512283464,0.03565500526297273,0.0015535967731808394,0.301,0.1508,0.4518,ec lifetime risk,-5,959.3441061979062
MLH1,"HSBO: Never, Survey: 30",40.3322210054247,22.113999137148532,46.27223599189108,0.0,0.8248103053601578,0.0,0.8248103053601578,23529.717978586916,39870.678547077536,0.041081092876882,0.03359538999023603,0.07288861129747423,0.022249871145591085,0.11396970417435623,0.055845261135827114,0.0014022677469718965,0.301,0.1508,0.4518,ec lifetime risk,-5,1064.0191234818385
MLH1,"HSBO: 40, Survey: 35",40.94052963053372,22.30976577713359,46.910838887708564,0.0,0.963442919790873,0.0,0.2502746546897233,13022.04530425449,19771.92892179467,0.018210999620444906,0.013958595612423795,0.007246954940305318,0.0031951706876568974,0.025457954560750222,0.01715376630008069,0.0016428021436735072,0.301,0.1508,0.4518,ec lifetime risk,-5,583.6926050385273
MLH1,"HSBO: 50, Survey: 35",40.65582541382907,22.31135663717817,46.33000376734476,0.0,0.8811610267072697,0.0,0.5527913800289612,19467.10039303694,34015.05868274815,0.03887746039659032,0.027368126830430013,0.059604606616303214,0.02106802029467401,0.09848206701289353,0.04843614712510402,0.0015081802685676803,0.301,0.1508,0.4518,ec lifetime risk,-5,872.5197983074794
MLH1,"HSBO: Never, Survey: 35",40.2239554026463,22.171374352481717,45.9137004719996,0.0,0.7670202781033888,0.0,0.7670202781033888,22431.17488583548,42386.946692581194,0.05410285497005319,0.04416599358989949,0.09779463240731265,0.03002850515760108,0.15189748737736583,0.07419449874750057,0.0013040561789689749,0.301,0.1508,0.4518,ec lifetime risk,-5,1011.71783621635
MLH1,"HSBO: 35, Survey: Never",40.761317417319034,22.122207117272815,47.08310033941864,0.0,0.9793191382363283,0.0,0.0,8386.778338419643,11630.818066599202,0.009990530694396873,0.008166751486505657,0.00397444221797509,0.0019138594876373619,0.013964972912371962,0.010080610974143018,0.0016709936733179246,0.301,0.1508,0.4518,ec lifetime risk,-5,379.1112836960704
MLH1,"HSBO: 40, Survey: Never",40.92609602084389,22.324231633882913,46.80250106768573,0.0,0.9603431542823414,0.0,0.0,8795.491931681381,13912.409520416433,0.019797707427989916,0.016640541988372354,0.007875942392635067,0.0037414945243269674,0.027673649820624983,0.020382036512699323,0.0016392602759892295,0.301,0.1508,0.4518,ec lifetime risk,-5,393.9885625596135
MLH1,"HSBO: 50, Survey: Never",40.1538448732835,22.230179346413422,45.37498246274373,0.0,0.8084852399568839,0.0,0.0,13903.777076143968,27856.18704788585,0.057800260106430884,0.04771020554604169,0.10404112461311088,0.04333902084642685,0.16184138471954176,0.09104922639246854,0.0013996025024576525,0.301,0.1508,0.4518,ec lifetime risk,-5,625.4460146038894
MLH1,Nat Hist,38.91722772273064,21.86582526940819,44.358629664534725,0.4508787205327077,0.0,0.0,0.0,17484.67989143617,41273.86985075358,0.12259519217534552,0.09198876251596386,0.2620507271038746,0.08967265683258867,0.38464591927922015,0.1816614193485525,0.0,0.301,0.1508,0.4518,ec lifetime risk,-5,799.6350321109743
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",41.031113992204,22.52710806242802,46.09190146634929,0.0,0.8731274026173755,0.047527200772930454,0.0,15544.763074988778,27941.472911169945,0.059486258320025735,0.04896116393939684,0.007875942392635067,0.0037414945243269674,0.0673622007126608,0.05270265846372381,0.0015417400076768776,0.301,0.1508,0.4518,ec lifetime risk,-5,690.0469883622217
MLH1,"HSBO: 35, Survey: 30",40.75417960313844,22.089392616095047,47.180701414969434,0.0,0.9812854771141628,0.0,0.25474320012293483,13430.451788317634,17658.381744722912,0.008374434019732221,0.005810585257802811,0.004253581769308574,0.0017947643907036974,0.012628015789040794,0.007605349648506509,0.0016730158176941244,0.3224,0.1508,0.4732,ec lifetime risk,-4,608.0045758493047
MLH1,"HSBO: 40, Survey: 30",40.880042019570254,22.225707134026248,47.04755351961366,0.0,0.9688650847946618,0.0,0.44137042878063937,16609.638802388396,23361.948437425155,0.014459048890788365,0.01009785185803405,0.007345024903669583,0.0030051949360174962,0.021804073794457948,0.013103046794051547,0.0016509315157592166,0.3224,0.1508,0.4732,ec lifetime risk,-4,747.3165511553069
