gene,strategy,total QALYs,total QALYs disc,total LE,healthy,HSBO total,hysterectomy total,HSBO false positive,total disc cost,total cost,OC incidence,OC death,EC incidence,EC death,Cancer Incidence,Cancer Mortality,HSBO death comps,lifetime ec risk,lifetime oc risk,lifetime total risk,changed param,param value,cost per QALY,icers
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",41.26936885675361,22.61269446462235,46.32942898367581,0.0,0.8859342362872312,0.04802542851054575,0.0,12860.311192787429,22739.33712186356,0.04618119691255465,0.03834583134380247,0.007875942392635067,0.003741494524326968,0.05405713930518972,0.04208732586812944,0.001562004750695231,0.301,0.12,0.42100000000000004,ec lifetime risk,-5.0,568.7208666312382,16842.185822147454
MLH1,"HSBO: 40, Survey: Never",40.92609602084389,22.324231633882913,46.802501067685725,0.0,0.9603431542823414,0.0,0.0,8001.966594691158,12638.189600029522,0.01979770742798992,0.016640541988372354,0.007875942392635067,0.003741494524326968,0.027673649820624983,0.020382036512699327,0.0016392602759892295,0.301,0.12,0.42100000000000004,ec lifetime risk,-5.0,358.4430911631495,934.717762364022
MLH1,"HSBO: 40, Survey: 35",40.90096123152529,22.292782139543444,46.85226021133356,0.0,0.9634429197908729,0.0,0.2502746546897233,12110.387087388992,18191.709800950903,0.01821099962044491,0.015432536566919541,0.007246954940305319,0.003195170687656897,0.025457954560750232,0.01862770725457644,0.0016428021436735072,0.301,0.12,0.42100000000000004,ec lifetime risk,-5.0,543.2425173126917,
MLH1,"HSBO: 50, Survey: 35",40.53980149579269,22.26578117580994,46.158429184877946,0.0,0.8811610267072698,0.0,0.5527913800289612,17822.328783654288,30582.03767333708,0.038877460396590346,0.03266024962204884,0.059604606616303235,0.021068020294674014,0.09848206701289358,0.05372826991672286,0.0015081802685676805,0.301,0.12,0.42100000000000004,ec lifetime risk,-5.0,800.4358186640617,
MLH1,"HSBO: 50, Survey: Never",40.153844873283504,22.230179346413426,45.37498246274373,0.0,0.8084852399568839,0.0,0.0,11885.692567905571,23858.242179654164,0.05780026010643088,0.04771020554604169,0.10404112461311088,0.04333902084642685,0.16184138471954174,0.09104922639246854,0.0013996025024576525,0.301,0.12,0.42100000000000004,ec lifetime risk,-5.0,534.6647178455258,
MLH1,"HSBO: 40, Survey: 30",40.83412469069499,22.20400577098755,46.968044760329676,0.0,0.9704298015714656,0.0,0.44171680501604543,15585.261532866323,21565.94093286684,0.01447237888547404,0.012293611844146677,0.005760366495491657,0.0023567640495176802,0.020232745380965696,0.014650375893664356,0.0016533997768647126,0.301,0.12,0.42100000000000004,ec lifetime risk,-5.0,701.9121546631247,
MLH1,"HSBO: 50, Survey: 30",40.56637603240709,22.1839883905964,46.453667580284474,0.0,0.9094294621237836,0.0,0.6659899985793573,19819.85518791904,30751.60958679144,0.029793624852021888,0.025065514687976208,0.04457613027081275,0.01560694403526079,0.07436975512283464,0.040672458723237014,0.0015535967731808394,0.301,0.12,0.42100000000000004,ec lifetime risk,-5.0,893.4306509248132,
MLH1,"HSBO: Never, Survey: 35",40.25905967180059,22.181800379411207,45.9467632186682,0.0,0.7692137388316979,0.0,0.7692137388316979,20156.821786301192,37643.57570268551,0.0498445789542009,0.04126901962826792,0.098107627245197,0.030084314030823157,0.1479522061993979,0.07135333365909108,0.0013077895712892884,0.301,0.12,0.42100000000000004,ec lifetime risk,-5.0,908.7099081916916,
MLH1,"HSBO: 35, Survey: Never",40.76131741731904,22.12220711727281,47.08310033941864,0.0,0.9793191382363284,0.0,0.0,7813.1306905826905,10794.70003539744,0.009990530694396873,0.008166751486505657,0.00397444221797509,0.0019138594876373612,0.013964972912371962,0.010080610974143018,0.0016709936733179244,0.301,0.12,0.42100000000000004,ec lifetime risk,-5.0,353.1804330898914,0.0
MLH1,"HSBO: Never, Survey: 30",40.358245836091854,22.121728555589883,46.29674732353737,0.0,0.8264364450122456,0.0,0.8264364450122456,21550.55024442445,35986.737276127635,0.037924185899000686,0.031447695176614436,0.07312065252356653,0.02229124550005909,0.1110448384225672,0.05373894067667353,0.0014050355272245837,0.301,0.12,0.42100000000000004,ec lifetime risk,-5.0,974.1802133712062,
MLH1,"HSBO: 35, Survey: 30",40.73059863229847,22.077548614134923,47.139179935319284,0.0,0.9821997630784808,0.0,0.2548225897724197,12665.200526564284,16439.24682584839,0.008378068507873135,0.006907063970134871,0.0033342630184341744,0.001406853744708664,0.01171233152630731,0.008313917714843534,0.001674299792814899,0.301,0.12,0.42100000000000004,ec lifetime risk,-5.0,573.6687866901817,
MLH1,Nat Hist,39.058383527680114,21.906849536772967,44.48780110467944,0.4675590913584817,0.0,0.0,0.0,13403.806172229142,30951.03824426602,0.10139225196365198,0.07888284712069436,0.26380262431768003,0.09006307019253898,0.365194876281332,0.16894591731323333,0.0,0.301,0.12,0.42100000000000004,ec lifetime risk,-5.0,611.8545777077363,
MLH1,"Hyst+Salp: 40, Oophorectomy: 50",41.24024474517292,22.60063943479927,46.30506508105467,0.0,0.8839633543914971,0.047918945586919816,0.0,12923.897839351612,22849.777418669364,0.04610279785228203,0.03828193586710145,0.010041851735687356,0.004770612573202006,0.05614464958796938,0.043052548440303456,0.0015585298574603815,0.3148,0.12,0.4348,ec lifetime risk,-4.0,571.8377073638047,16842.273133999326
